demand,phase,variant,before,after,facility,delta,relative,se,upper95,lower95,seven_day_extra_income,facility_price,seven_day_net
flat,0,baseline,37,53,12005,1132.7208333333333,0.1047389366986582,61.0354831628589,1252.3503803325368,1013.0912863341299,63432.36666666667,176000,-112567.63333333333
flat,0,baseline,38,39,12001,-1082.69375,-0.10452588916083909,48.26486702070368,-988.0946106394207,-1177.292889360579,-60630.84999999999,18000,-78630.84999999999
flat,0,baseline,38,46,12004,-532.1604166666667,-0.051376061539365074,46.52026556415609,-440.9806961609208,-623.3401371724126,-29800.983333333337,42000,-71800.98333333334
flat,0,baseline,38,54,12005,1289.4166666666667,0.1244834225579843,59.56297113012339,1406.1600900817086,1172.6732432516249,72207.33333333334,176000,-103792.66666666666
flat,0,baseline,39,47,12004,-389.9166666666667,-0.04203751212318186,41.649979889138756,-308.28270608395474,-471.55062724937864,-21835.333333333336,42000,-63835.333333333336
flat,0,baseline,39,55,12005,1414.86875,0.15253916366104595,55.81589473781835,1524.267903686124,1305.469596313876,79232.65000000001,176000,-96767.34999999999
flat,0,baseline,40,41,12001,-2079.741666666667,-0.1479719440939276,63.48380720090652,-1955.31340455289,-2204.1699287804436,-116465.53333333334,18000,-134465.53333333333
flat,0,baseline,40,42,12002,-2557.5270833333334,-0.18196599157445312,69.59270980049571,-2421.125372124362,-2693.928794542305,-143221.51666666666,39000,-182221.51666666666
flat,0,baseline,40,44,12003,-2651.6520833333334,-0.18866290949511197,70.48468887866393,-2513.502093131152,-2789.802073535515,-148492.51666666666,46000,-194492.51666666666
flat,0,baseline,40,56,12005,605.10625,0.0430528221994973,65.65453846954041,733.7891454002993,476.4233545997008,33885.950000000004,176000,-142114.05
flat,0,baseline,41,43,12002,-1830.6354166666667,-0.1528684814889622,61.474569275344564,-1710.1452608869913,-1951.1255724463422,-102515.58333333334,39000,-141515.58333333334
